TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P042_01,P042_03,P042_04,P043,P044_01
06,01,01,01,00102,0130,3205747,1,11,2108,2,0.25
06,01,01,01,00102,0131,0244702,1,11,2108,2,0.25
06,01,01,01,00102,0131,0244702,2,11,2343,2,0.25
06,01,01,01,00102,0132,0244701,1,11,2108,2,0.5
06,01,01,01,00102,0132,0244701,2,11,2107,2,0.5
06,01,01,01,00102,0133,0244716,1,11,2108,2,0.5
06,01,01,01,00102,0134,0244718,1,11,2108,2,0.5
06,01,01,01,00102,0135,3205798,1,8,2108,1,0.25
06,01,01,01,00102,0136,3205797,1,11,2108,2,0.25
06,01,01,01,00102,0136,3205797,2,11,2501,2,0.25
06,01,01,01,00102,0138,0244712,1,11,2109,2,0.2
06,01,01,01,00102,0139,0244713,1,11,2319,2,0.005
06,01,01,01,00102,0140,0244710,1,10,2108,2,2.0
06,01,01,01,00102,0141,0244709,1,11,2108,2,0.25
06,01,01,01,00102,0142,0244708,1,11,2108,2,0.25
06,01,01,01,00102,0143,0244715,1,11,2108,2,0.5
06,01,01,01,00102,0145,2869881,1,10,2108,2,0.5
06,01,01,01,00102,0146,2869882,1,8,2612,2,0.5
06,01,01,01,00102,0146,2869882,2,11,2107,2,0.5
06,01,01,01,00102,0146,2869882,3,11,2109,2,0.25
06,01,01,01,00102,0146,2869882,4,2,2501,2,0.25
06,01,01,02,00100,0001,3365240,1,11,2614,2,0.5
06,01,01,02,00100,0001,3365240,2,9,2108,2,0.5
06,01,01,02,00100,0002,3365239,1,11,2505,2,0.25
06,01,01,02,00100,0002,3365239,2,1,2608,2,0.25
06,01,01,02,00100,0002,3365239,3,10,2108,2,1.0
06,01,01,02,00100,0002,3365239,4,11,2614,2,0.5
06,01,01,02,00100,0003,3365237,1,10,2108,2,0.25
06,01,01,02,00100,0004,3365235,1,9,2614,2,0.25
06,01,01,02,00100,0004,3365235,2,11,2108,2,0.25
06,01,01,02,00100,0005,3365236,1,9,2108,2,1.0
06,01,01,02,00100,0005,3365236,2,6,2608,2,0.5
06,01,01,02,00100,0006,3365234,1,4,2614,2,0.2
06,01,01,02,00100,0006,3365234,2,9,2108,2,0.2
06,01,01,02,00100,0007,3365233,1,5,2614,2,0.25
06,01,01,02,00100,0008,3365230,1,9,2614,2,0.25
06,01,01,02,00100,0009,3365229,1,9,2108,2,0.13
06,01,01,02,00100,0010,3365228,1,5,2614,2,0.25
06,01,01,02,00100,0011,3365227,1,8,2108,2,0.5
06,01,01,02,00100,0011,3365227,2,5,2614,2,0.5
06,01,01,02,00100,0014,3365224,1,9,2108,2,0.5
06,01,01,02,00100,0014,3365224,2,12,2609,2,0.2
06,01,01,02,00100,0015,3365223,1,9,2108,2,0.25
06,01,01,02,00100,0016,3365222,1,10,2108,2,0.5
06,01,01,02,00100,0017,3365221,1,10,2614,2,0.2
06,01,01,02,00100,0018,3365220,1,12,2614,2,0.13
06,01,01,02,00100,0019,3365219,1,10,2108,2,0.2
06,01,01,02,00100,0019,3365219,2,9,2609,2,0.2
06,01,01,02,00100,0020,3365218,1,9,2108,2,0.2
06,01,01,02,00100,0021,2939160,1,1,2609,2,0.5
06,01,01,02,00100,0022,2939159,1,4,2501,1,0.25
06,01,01,02,00100,0022,2939159,2,8,2608,2,0.2
06,01,01,02,00100,0023,2939158,1,10,2614,2,0.25
